,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,bbl,repairs_percent_of_expenses,expenses_percent_of_income,repairs_percent_of_income
616,1,01089,1101,1101.0,2021,2984252.0,,,,,2994659.0,1397662.0,20929.0,182944.0,,1010891101,13.089287681857273,46.67182473864303,6.109009406413217
617,1,01089,1102,1103.0,2021,35476393.0,,,,,37159238.0,18665847.0,473677.0,2496231.0,,1010891102,13.373253300533323,50.23204996830128,6.7176592803114
618,1,01089,1102,1103.0,2021,35476393.0,,,,,37159238.0,18665847.0,473677.0,2496231.0,,1010891102,13.373253300533323,50.23204996830128,6.7176592803114
619,1,01083,0029,,2021,6788643.0,,,,,8515274.0,2494846.0,,152606.0,36061013500.0,1010830029,6.116850498988715,29.29848176347584,1.7921443279452898
620,1,01089,0001,,2021,25955335.0,,1995884.0,,,28845890.0,18768799.0,464277.0,2280026.0,36061011700.0,1010890001,12.147958961039542,65.06576500153055,7.90416243007236
621,1,01089,1002,1002.0,2021,1200114.0,,,,,1214554.0,1280205.0,33841.0,341913.0,,1010891002,26.70767572380986,105.4053586748716,28.15132139040339
623,1,01089,1102,1103.0,2021,35476393.0,,,,,37159238.0,18665847.0,473677.0,2496231.0,,1010891102,13.373253300533323,50.23204996830128,6.7176592803114
624,1,01092,0036,,2021,,,,,,1802150.0,605967.0,103684.0,97787.0,,1010920036,16.137347413307985,33.62467053241961,5.426129900396749
628,1,01093,0042,,2021,,,,,,606000.0,14854.0,,9582.0,,1010930042,64.50787666621785,2.451155115511551,1.5811881188118813
633,1,01094,0036,,2021,,,743677.0,,,743677.0,955222.0,365016.0,67303.0,,1010940036,7.045796683912221,128.44581720289855,9.050031129105781
635,1,01094,0018,,2021,,,1339843.0,,,2572298.0,644613.0,,108521.0,,1010940018,16.835062277676684,25.059810333017403,4.218834676231137
640,1,01094,0027,,2021,,,,,,987296.0,381684.0,,,,1010940027,,38.65953067772988,
641,1,01099,0012,,2021,,,,26000.0,,1953343.0,538531.0,,52902.0,,1010990012,9.823389925556745,27.569709979250955,2.708280112606951
642,1,01096,0026,,2021,,,,,,1101994.0,279040.0,,900.0,,1010960026,0.3225344036697248,25.321371985691393,0.08167013613504248
646,1,01099,0017,,2021,,,172630.0,1788000.0,,1960630.0,218243.0,40944.0,19773.0,,1010990017,9.060084401332459,11.13126903087273,1.0085023691364512
647,1,01102,0011,,2021,,,,,,6230788.0,998462.0,164456.0,25.0,,1011020011,0.002503850922719142,16.024650493645424,0.0004012333592476586
649,1,01102,0018,,2021,,,9060548.0,,,11168658.0,4111198.0,898026.0,632984.0,,1011020018,15.39658269925214,36.81013421666238,5.667502756374132
650,1,01102,0029,,2021,,,7349197.0,,,22229959.0,13019633.0,4153107.0,801683.0,,1011020029,6.157493072193356,58.56795777266166,3.6063179423767715
651,1,01103,0036,,2021,,,,,,1154264.0,75834.0,,,,1011030036,,6.569900819916414,
652,1,01105,0029,,2021,18249597.0,,,,,20204017.0,10355541.0,90698.0,1755068.0,36061013500.0,1011050029,16.948105366972136,51.254861842573185,8.6867279907753
653,1,01104,0036,,2021,,,333959.0,,,811310.0,213776.0,,27196.0,,1011040036,12.721727415612605,26.349484167580826,3.3521095512196326
