,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,bbl,repairs_percent_of_expenses,expenses_percent_of_income,repairs_percent_of_income
6381,1,00448,0024,,2021,141408.0,317204.0,,,,551229.0,248088.0,33895.0,65262.0,,1004480024,26.305988197736283,45.00634037759262,11.839362587962535
6383,1,00448,0036,,2021,116849.0,391188.0,,,,508037.0,139910.0,,47303.0,,1004480036,33.80959188049461,27.539332765133253,9.31093601450288
6390,1,00449,0001,,2021,276959.0,519298.0,,,,842488.0,218825.0,,28506.0,,1004490001,13.026847937849881,25.973663719839337,3.3835496766719526
6398,1,00449,0004,,2021,206289.0,305916.0,,,1367.0,679216.0,195885.0,4882.0,38750.0,,1004490004,19.782014957755827,28.839868318767518,5.7051070646156745
6400,1,00449,0044,,2021,326615.0,395940.0,,,,816805.0,220410.0,12115.0,34019.0,,1004490044,15.434417676148996,26.98440876341354,4.164886355984598
6402,1,00046,0001,,2021,,,7587310.0,,,10915415.0,5573217.0,1054672.0,459697.0,,1000460001,8.248324082841203,51.05822362228096,4.211447755307517
6403,1,00046,0003,,2021,,,13572640.0,,,19530798.0,6629634.0,2099068.0,1961927.0,,1000460003,29.59329278207515,33.94451163746612,10.04529871232092
6404,1,00046,0009,,2021,,,27300719.0,,,33548185.0,14503461.0,3046112.0,1548233.0,,1000460009,10.674920972311368,43.231730718070146,4.614953089116446
6405,1,00047,1001,1002.0,2021,,,60260984.0,,,72574837.0,42613134.0,10704397.0,7190439.0,,1000471001,16.87376244141067,58.716127739976876,9.907619909638928
6406,1,01902,0035,,2021,464671.0,29500.0,,,7489.0,613180.0,296276.0,11828.0,53480.0,,1019020035,18.050736475448566,48.317949052480515,8.721745653804755
6417,1,01907,0061,,2021,54363.0,222374.0,,,,502703.0,157681.0,,8979.0,,1019070061,5.694408330743716,31.366631987475706,1.78614410496854
6418,1,01909,1001,1001.0,2021,,,,,,2822975.0,92105.0,,,,1019091001,,3.262692726644763,
6419,1,01909,0012,,2021,,,4977328.0,,,5071645.0,2824072.0,115625.0,1675678.0,,1019090012,59.3355268562558,55.683550406229145,33.040128005804824
6420,1,01909,0033,,2021,,,,,,9048471.0,2100921.0,395248.0,508994.0,,1019090033,24.22718417303649,23.21851946035966,5.6251934719136525
6421,1,01909,0046,,2021,,,,,,1021471.0,361421.0,,23067.0,,1019090046,6.382307613558703,35.38240439523002,2.2582138895768944
6422,1,01909,0057,,2021,,,,,,1148825.0,265268.0,7441.0,79295.0,,1019090057,29.892410694090504,23.090374948316757,6.902269710356233
6423,1,01909,0063,,2021,,,,,,752070.0,213211.0,12051.0,110930.0,,1019090063,52.02827246249021,28.349887643437444,14.74995678593748
6425,1,01910,1002,1002.0,2021,,,4068736.0,,,4470882.0,1589687.0,,252910.0,,1019101002,15.909421162782358,35.55645172473798,5.656825655429958
6428,1,01911,0029,,2021,,669779.0,,,,1036372.0,221684.0,,37704.0,,1019110029,17.00799335991772,21.390388779318624,3.638075903247097
6429,1,01912,0001,,2021,196064.0,716853.0,,,,1496550.0,662131.0,,156742.0,,1019120001,23.672354866333098,44.24382746984731,10.47355584511042
6430,1,01912,1001,1001.0,2021,,,602104.0,,,800498.0,148167.0,,115896.0,,1019121001,78.21984652452976,18.509352927802443,14.477987452810625
6437,1,01913,0061,,2021,850734.0,,,,,1062705.0,412108.0,,123388.0,,1019130061,29.94069515758005,38.779153198676966,11.610748043906822
6448,1,01918,0014,,2021,804390.0,,,,,1005565.0,108739.0,,65447.0,,1019180014,60.1872373297529,10.813721639078528,6.508480307091038
6450,1,01918,0036,,2021,403428.0,,,,,536624.0,176865.0,,34574.0,36061022600.0,1019180036,19.548243010205525,32.958831509585856,6.442872476818033
6460,1,01921,0055,,2021,62579.0,459275.0,,,,521854.0,254816.0,5989.0,72183.0,,1019210055,28.327499058143918,48.82898281894936,13.832029648139136
6461,1,01391,0039,,2021,1298423.0,,91614.0,,,1391383.0,1264121.0,,438826.0,,1013910039,34.713923746223664,90.85356080964047,31.53883582018754
6464,1,01922,0020,,2021,451144.0,363808.0,,,,948388.0,725886.0,41090.0,102390.0,,1019220020,14.10552070159777,76.5389271057837,10.79621420768715
6465,1,01922,0003,,2021,455481.0,,,,,616207.0,312809.0,4126.0,46784.0,,1019220003,14.95609141680706,50.76362326296196,7.592253901692127
6469,1,01923,0049,,2021,,,,,,1815652.0,19044.0,,,,1019230049,,1.0488794108122041,
6471,1,01924,0009,,2021,149544.0,,,,434602.0,584146.0,212402.0,,38755.0,36061022000.0,1019240009,18.246061713166544,36.361115200651895,6.634471519106524
6472,1,01924,0029,,2021,651974.0,,90418.0,,,743047.0,899587.0,,257257.0,36061022000.0,1019240029,28.597234064076073,121.06730798993873,34.621901440958645
6476,1,01924,0009,,2021,149544.0,,,,434602.0,584146.0,212402.0,,38755.0,36061022000.0,1019240009,18.246061713166544,36.361115200651895,6.634471519106524
6478,1,01925,0050,,2021,399245.0,395857.0,,16200.0,21161.0,923388.0,485713.0,,158730.0,,1019250050,32.67979238768573,52.60118173508861,17.189956984496224
6479,1,01925,0061,,2021,493074.0,,,,,509324.0,212698.0,,34218.0,36061022000.0,1019250061,16.087598378922227,41.76084378509554,6.718316827795273
6482,1,01927,0001,,2021,640356.0,,,,,715572.0,349145.0,33507.0,104602.0,36061022000.0,1019270001,29.95947242549657,48.792434583801494,14.61795598486246
6483,1,01927,0002,,2021,1610368.0,,159680.0,,,1786135.0,868408.0,18520.0,131649.0,36061022000.0,1019270002,15.159809674715111,48.619393270945366,7.3706074848765635
6486,1,01927,0061,,2021,1046147.0,,,,,1283956.0,498970.0,5850.0,56117.0,36061022000.0,1019270061,11.246567929935667,38.86192361732022,4.370632638501631
6496,1,01930,0030,,2021,,,6265783.0,,,8293419.0,2891382.0,649546.0,419493.0,,1019300030,14.508390797203552,34.863570742054634,5.058143089116805
6497,1,01930,0037,,2021,,,,,,1469100.0,86297.0,,434.0,,1019300037,0.5029143539172857,5.874140630317882,0.029541896399155946
6500,1,01930,0044,,2021,,,,,,2784296.0,302587.0,,3992.0,,1019300044,1.3192899893253842,10.867630453084011,0.14337556064441423
6503,1,01930,0053,,2021,,,,51310.0,,1741202.0,240717.0,77076.0,19586.0,,1019300053,8.136525463511093,13.824760136962858,1.124855128813314
6504,1,01931,0001,,2021,,811674.0,,,,932743.0,559743.0,,345292.0,,1019310001,61.68759591455364,60.010420876918936,37.01898593717669
6505,1,01931,0012,,2021,,,,,,882923.0,219539.0,,21012.0,,1019310012,9.570964612210132,24.865022204654313,2.3798224760256557
6507,1,01931,0021,,2021,,,5510028.0,,,9517059.0,3268711.0,121000.0,448022.0,,1019310021,13.706381506349139,34.345809981844184,4.707567747557307
6508,1,01931,0027,,2021,,,,,,2311077.0,583998.0,53349.0,35940.0,,1019310027,6.154130664831044,25.269517199124046,1.5551191068060477
6509,1,01931,0036,,2021,,,357658.0,,,1409807.0,1508498.0,,682718.0,,1019310036,45.25813093553985,107.00031990194402,48.42634488266834
6510,1,01931,0006,,2021,,,,,,3018107.0,462726.0,133856.0,34704.0,,1019310006,7.499902750223675,15.331663191530321,1.1498598293566131
6512,1,01932,0033,,2021,1991233.0,,,,,2185736.0,1035230.0,,181369.0,36061022400.0,1019320033,17.519681616645578,47.362993517972896,8.297845668461333
6515,1,01937,0001,,2021,900635.0,,,,,1091838.0,609734.0,,134812.0,,1019370001,22.109969265286175,55.844731544423254,12.347252980753556
6516,1,01937,0020,,2021,768510.0,,,,,835915.0,648992.0,,107737.0,,1019370020,16.600666880331342,77.63851587781055,12.888511391708487
6527,1,01943,0001,,2021,578645.0,,,578645.0,3360554.0,3393199.0,1048756.0,,191660.0,36061020102.0,1019430001,18.274984839180895,30.907588974298296,5.64835719920936
6534,1,01944,0043,,2021,,,,504021.0,,715521.0,92731.0,,51521.0,,1019440043,55.559629465874416,12.95992710206968,7.20048747695735
6535,1,01944,0053,,2021,1010649.0,,,,,1022244.0,451440.0,,104138.0,,1019440053,23.06796030480241,44.1616678601195,10.187196011911052
6536,1,01944,0055,,2021,1010649.0,,,,,1022244.0,451440.0,,104138.0,,1019440055,23.06796030480241,44.1616678601195,10.187196011911052
6538,1,01945,0001,,2021,460153.0,233358.0,,,,697368.0,529094.0,,66623.0,,1019450001,12.591902384075421,75.8701288272476,9.553492560599281
6540,1,01945,1301,1302.0,2021,,,,,,2350353.0,116716.0,,,,1019451301,,4.965892357445881,
6542,1,01947,1002,1002.0,2021,,,,,,630734.0,85891.0,,1089.0,,1019471002,1.2678860416108788,13.617626447916237,0.1726559849318413
6545,1,01949,0061,,2021,508340.0,496585.0,,,,1007309.0,830200.0,27350.0,82224.0,,1019490061,9.904119489279692,82.41760969077016,8.162738543982035
6546,1,01950,0041,,2021,809210.0,,,,,858061.0,391099.0,,77318.0,,1019500041,19.769418996213233,45.57939353962014,9.010781284780453
6547,1,01951,0022,,2021,,,,,,11134512.0,2374953.0,154518.0,665227.0,,1019510022,28.010112200115117,21.329655040113117,5.974460308633193
6548,1,01951,0004,,2021,,,,,,1170662.0,1246323.0,,186835.0,,1019510004,14.990897223271975,106.46309524012909,15.959773188161913
6549,1,01951,0051,,2021,,,667793.0,,,1980787.0,756663.0,51250.0,215658.0,,1019510051,28.501195380241928,38.20011944747214,10.88749067920983
6550,1,01952,0011,,2021,309085.0,331465.0,,,7879.0,1480337.0,614173.0,33360.0,46675.0,,1019520011,7.5996502614084305,41.4887285800463,3.1529982699885233
6551,1,01952,0019,,2021,,,221145.0,,,774903.0,325704.0,10250.0,76218.0,,1019520019,23.40100213690959,42.03158330784627,9.83581170804604
6553,1,01952,0022,,2021,,,,,,535488.0,45218.0,,,,1019520022,,8.444260188837099,
6554,1,01952,0025,,2021,,,,,,1406294.0,18531.0,,780.0,,1019520025,4.209163024121742,1.3177187700438173,0.05546493123059616
6556,1,01952,0029,,2021,,,1247196.0,,,4720130.0,1236009.0,557263.0,88428.0,,1019520029,7.154316837498756,26.185910133831058,1.8734229777569686
6561,1,01953,0002,,2021,639932.0,2250.0,,,492.0,665451.0,436578.0,3766.0,54902.0,36061021303.0,1019530002,12.575530603924157,65.60633314849629,8.250344503201589
6562,1,01953,0003,,2021,639932.0,2250.0,,,492.0,665451.0,436578.0,3766.0,54902.0,36061021303.0,1019530003,12.575530603924157,65.60633314849629,8.250344503201589
6564,1,01953,0004,,2021,639932.0,2250.0,,,492.0,665451.0,436578.0,3766.0,54902.0,36061021303.0,1019530004,12.575530603924157,65.60633314849629,8.250344503201589
6568,1,01953,0063,,2021,639932.0,2250.0,,,492.0,665451.0,436578.0,3766.0,54902.0,36061021303.0,1019530063,12.575530603924157,65.60633314849629,8.250344503201589
6569,1,01953,0064,,2021,639932.0,2250.0,,,492.0,665451.0,436578.0,3766.0,54902.0,36061021303.0,1019530064,12.575530603924157,65.60633314849629,8.250344503201589
6570,1,01954,0029,,2021,,363974.0,,,,513078.0,437388.0,,334607.0,,1019540029,76.50118430318162,85.2478570509747,65.21562023707897
6573,1,01954,0046,,2021,157224.0,350628.0,,,,507852.0,371822.0,,72826.0,36061021303.0,1019540046,19.586253637493208,73.21463733528665,14.340004568260046
6579,1,01958,0001,,2021,5955719.0,484862.0,,,8938.0,6857593.0,2747169.0,,209159.0,,1019580001,7.613619693582739,40.06025146140927,3.0500351945646234
6593,1,01962,0001,,2021,,803314.0,,52687.0,,969058.0,623575.0,,177727.0,,1019620001,28.501302970773363,64.34857356319229,18.340181908616408
6594,1,01962,0011,,2021,,596866.0,,,,600893.0,706601.0,,447434.0,,1019620011,63.322016243962295,117.59181751160357,74.46150978626811
6595,1,01962,0013,,2021,16856.0,529601.0,,,,549678.0,410728.0,,132748.0,,1019620013,32.32017296118112,74.72156426125841,24.150138808538816
6596,1,01962,0018,,2021,37650.0,657068.0,,,,699628.0,442808.0,,131171.0,,1019620018,29.622545211468626,63.29192084936567,18.748677868810283
6597,1,01962,0019,,2021,,4412907.0,,,,4437112.0,4128038.0,,1090984.0,,1019620019,26.428632682160387,93.03434305917904,24.587704795371405
6598,1,01962,0026,,2021,195206.0,633581.0,,,1850.0,835879.0,681980.0,,284006.0,,1019620026,41.64432974574034,81.58836386606195,33.976927282537304
6599,1,01962,0031,,2021,154844.0,697273.0,,,,858372.0,638294.0,,255977.0,,1019620031,40.10330662672687,74.36099965982115,29.821219704277404
6600,1,01962,0038,,2021,35576.0,2511171.0,,,1802.0,2651064.0,1689101.0,,459532.0,,1019620038,27.205714755955977,63.71407857373492,17.333870476155987
6601,1,01962,0044,,2021,65461.0,810359.0,,,,882961.0,1410364.0,,382294.0,,1019620044,27.106052054646884,159.73117725471454,43.29681605416321
6602,1,01962,0056,,2021,,1602845.0,,78959.0,,1695558.0,1605881.0,,406270.0,,1019620056,25.298885782944065,94.71106267081397,23.9608435689018
6603,1,01962,0061,,2021,188305.0,1262001.0,,,5250.0,1466309.0,1180426.0,,261120.0,,1019620061,22.12082756564156,80.50322271772184,17.80797908217163
6605,1,01962,0070,,2021,93886.0,2280344.0,,,,2608069.0,1738621.0,,389844.0,,1019620070,22.42259813956003,66.6631519334803,14.947610665208627
6607,1,01963,0001,,2021,70532.0,1881556.0,,,,2136369.0,1493098.0,,264063.0,,1019630001,17.6855772360555,69.88951814972039,12.360364712275828
6608,1,01963,0030,,2021,1496634.0,,,,,2041146.0,1835746.0,,86559.0,,1019630030,4.715194803638411,89.93702557288896,4.240705956359809
6609,1,01963,0048,,2021,23034.0,1204644.0,,,,1236165.0,1013152.0,,375807.0,,1019630048,37.09285477401219,81.95928537048047,30.401038696290545
6610,1,01963,0056,,2021,38017.0,810314.0,,,,855009.0,513744.0,,145891.0,,1019630056,28.397606590052632,60.086385055595905,17.063095242272304
6611,1,01963,0006,,2021,162480.0,682084.0,,,,851255.0,347926.0,,46418.0,,1019630006,13.341342699309624,40.872124099124235,5.45289014455128
6614,1,01966,0033,,2021,249590.0,95645.0,,,,620178.0,241842.0,45514.0,46601.0,,1019660033,19.26919228256465,38.99557868869905,7.514133039224223
6617,1,01966,0059,,2021,161542.0,156210.0,,,,520393.0,447487.0,,292578.0,,1019660059,65.38245803788713,85.99020355769582,56.2225087578042
6620,1,01967,0060,,2021,,,1389957.0,,,1453810.0,294130.0,31346.0,35099.0,,1019670060,11.933158807330093,20.23166713669599,2.4142769687923455
6623,1,01968,0046,,2021,417018.0,196244.0,,,,618168.0,192797.0,9286.0,32407.0,,1019680046,16.808871507336733,31.188447153524606,5.242426007169572
6624,1,01968,0049,,2021,355692.0,257570.0,,,,613262.0,192797.0,9286.0,32407.0,,1019680049,16.808871507336733,31.43794984851499,5.2843645945778475
6625,1,01969,0029,,2021,699518.0,184001.0,,,,880844.0,579241.0,,81782.0,,1019690029,14.118821008871954,65.75977131024335,9.284504407136792
6626,1,01969,0040,,2021,1279413.0,,,,,1353392.0,567773.0,14425.0,208670.0,,1019690040,36.752364060989166,41.951851348315934,15.418297137858064
6627,1,01969,0048,,2021,998857.0,,,,24419.0,1023276.0,418861.0,,73965.0,,1019690048,17.65860273455872,40.933335678741614,7.228255133512366
6632,1,01970,0058,,2021,239479.0,292695.0,,,10438.0,556179.0,259105.0,17765.0,47950.0,,1019700058,18.50601107659057,46.586620494481096,8.621325148917885
6636,1,01976,0016,,2021,73121.0,492981.0,,,6392.0,577232.0,335933.0,,97218.0,,1019760016,28.939699285274145,58.19722399312581,16.842101615988025
6637,1,01976,0029,,2021,192521.0,447152.0,,79339.0,,722625.0,403896.0,,105436.0,,1019760029,26.104739834016677,55.89289050337312,14.590693651617368
6638,1,01976,0036,,2021,,907437.0,,,,983236.0,587808.0,,167731.0,,1019760036,28.534997822418205,59.783002249714215,17.059078390132175
6640,1,01976,0039,,2021,61559.0,465477.0,,,,532137.0,333636.0,,71431.0,,1019760039,21.409859847258687,62.697388078633885,13.423422915527391
6641,1,01976,0048,,2021,23034.0,1204644.0,,,,1236165.0,1013152.0,,375807.0,,1019760048,37.09285477401219,81.95928537048047,30.401038696290545
6645,1,01976,0056,,2021,,,,,,523737.0,113993.0,,8197.0,,1019760056,7.190792417078241,21.765313506588228,1.565098513185053
6646,1,01976,0061,,2021,135766.0,446569.0,,64956.0,,652502.0,410735.0,,52902.0,,1019760061,12.879837364724214,62.94769977716543,8.107561356133775
6647,1,01977,0018,,2021,1622987.0,,,,,1633358.0,935030.0,,177440.0,,1019770018,18.976931221458134,57.245870164409766,10.863509408225264
6648,1,01977,0018,,2021,1622987.0,,,,,1633358.0,935030.0,,177440.0,,1019770018,18.976931221458134,57.245870164409766,10.863509408225264
6649,1,01977,0026,,2021,74514.0,484652.0,,,2377.0,611438.0,290079.0,,59712.0,,1019770026,20.584737261228838,47.44209551908779,9.76583071382544
6650,1,01977,0028,,2021,74514.0,484652.0,,,2377.0,611438.0,290079.0,,59712.0,,1019770028,20.584737261228838,47.44209551908779,9.76583071382544
6651,1,01977,0033,,2021,87046.0,887554.0,,,4907.0,1590555.0,599996.0,,97632.0,,1019770033,16.272108480723205,37.722430220897735,6.138234767109594
6652,1,01977,0033,,2021,87046.0,887554.0,,,4907.0,1590555.0,599996.0,,97632.0,,1019770033,16.272108480723205,37.722430220897735,6.138234767109594
6653,1,01977,0083,,2021,87046.0,887554.0,,,4907.0,1590555.0,599996.0,,97632.0,,1019770083,16.272108480723205,37.722430220897735,6.138234767109594
6654,1,01977,0033,,2021,87046.0,887554.0,,,4907.0,1590555.0,599996.0,,97632.0,,1019770033,16.272108480723205,37.722430220897735,6.138234767109594
6655,1,01977,0041,,2021,324437.0,665936.0,,,1645.0,997061.0,733028.0,,193307.0,,1019770041,26.371025390571713,73.51887196470427,19.38768039267407
6656,1,01977,0041,,2021,324437.0,665936.0,,,1645.0,997061.0,733028.0,,193307.0,,1019770041,26.371025390571713,73.51887196470427,19.38768039267407
6657,1,01977,0041,,2021,324437.0,665936.0,,,1645.0,997061.0,733028.0,,193307.0,,1019770041,26.371025390571713,73.51887196470427,19.38768039267407
6658,1,01977,0041,,2021,324437.0,665936.0,,,1645.0,997061.0,733028.0,,193307.0,,1019770041,26.371025390571713,73.51887196470427,19.38768039267407
6659,1,01977,0041,,2021,324437.0,665936.0,,,1645.0,997061.0,733028.0,,193307.0,,1019770041,26.371025390571713,73.51887196470427,19.38768039267407
6660,1,01980,0075,,2021,,,,,,2115258.0,304243.0,,70801.0,,1019800075,23.271200980794955,14.383257266962232,3.347156706179577
6666,1,01982,0059,,2021,567965.0,,,,,1089994.0,439358.0,11668.0,112413.0,36061021900.0,1019820059,25.58574101302355,40.30829527501986,10.31317603583139
6667,1,01982,0069,,2021,345063.0,727781.0,,,,1100572.0,534719.0,4283.0,161222.0,,1019820069,30.150789480082064,48.58555369389735,14.648928011979226
6672,1,01986,0065,,2021,,,2349612.0,,,2793380.0,1057187.0,,272246.0,,1019860065,25.75192468314499,37.84615770142265,9.746114026734636
6679,1,01988,0001,,2021,,,,,,1123302.0,316789.0,,20552.0,,1019880001,6.487599001227946,28.20158781877002,1.829605929660946
6681,1,01988,0103,,2021,145018.0,219000.0,,,,574018.0,144674.0,,17320.0,,1019880103,11.971743367847713,25.203739255563413,3.0173269827775435
6684,1,01988,0120,,2021,504169.0,,,,,504169.0,233018.0,19497.0,63498.0,,1019880120,27.25025534508064,46.21823237842867,12.594586339104547
6686,1,01988,0123,,2021,271000.0,555688.0,,,,826688.0,402312.0,,36174.0,,1019880123,8.991528962596194,48.66551830920493,4.375774173569715
6687,1,01988,0134,,2021,160404.0,554627.0,,,,1094894.0,436338.0,,112142.0,,1019880134,25.700718250530553,39.85207700471461,10.242270027966176
6694,1,01988,0074,,2021,416919.0,,,,52777.0,839136.0,462247.0,,50546.0,,1019880074,10.93484652144849,55.0860647141822,6.023576631201617
6699,1,01990,0010,,2021,,1350525.0,,9952.0,,1363834.0,844363.0,,163293.0,,1019900010,19.339194161752708,61.910980368578585,11.973084700924012
6700,1,01990,0022,,2021,76728.0,790853.0,,,,869372.0,645691.0,,135037.0,,1019900022,20.913563918344842,74.27096800909162,15.532706367354827
6701,1,01990,0025,,2021,29464.0,811776.0,,,,841408.0,599880.0,,79841.0,,1019900025,13.30949523237981,71.29478207956188,9.488975621814863
6702,1,01990,0029,,2021,91109.0,1435427.0,,,1002.0,1533741.0,840042.0,,157423.0,,1019900029,18.739896338516406,54.7707859410422,10.263988509142026
6703,1,01990,0040,,2021,1760591.0,,,,,1760591.0,1255721.0,222557.0,173594.0,,1019900040,13.824249176369591,71.32383387169422,9.859984516562905
6704,1,01990,0044,,2021,29287.0,946622.0,,,,977214.0,681247.0,,125881.0,,1019900044,18.478026325253545,69.71318462486211,12.881620607154625
6705,1,01990,0005,,2021,33044.0,1099764.0,,,,1133256.0,620250.0,,101985.0,,1019900005,16.442563482466745,54.73167580846693,8.99929053982507
6706,1,01990,0050,,2021,27254.0,1069769.0,,,,1098033.0,765638.0,,130178.0,,1019900050,17.00255211993135,69.7281411396561,11.855563539529323
6707,1,01990,0052,,2021,113875.0,734486.0,,,8.0,848369.0,832028.0,,167102.0,,1019900052,20.08369910628008,98.07383343804406,19.69685360969107
6708,1,01990,0053,,2021,88489.0,929754.0,,,,1023689.0,819316.0,,105230.0,,1019900053,12.843640304839646,80.0356358229892,10.279489180796121
6709,1,01990,0061,,2021,16592.0,1127386.0,,60075.0,,1205828.0,734363.0,,122692.0,,1019900061,16.70726874856168,60.901140129438026,10.174917152363355
6710,1,01990,0064,,2021,217465.0,918983.0,,,5573.0,1142461.0,929729.0,,215863.0,,1019900064,23.21784089772396,81.3794956676858,18.894561827493455
6713,1,01993,0053,,2021,16143.0,819448.0,,,,843532.0,772082.0,,370375.0,,1019930053,47.97094091042143,91.52966336783905,43.90764072969372
6714,1,01993,0076,,2021,32790.0,683459.0,70894.0,,,797531.0,225873.0,26704.0,33254.0,,1019930076,14.72243251738809,28.321532329150838,4.169618485049484
6715,1,01993,0079,,2021,24587.0,592031.0,121497.0,36000.0,,795319.0,188137.0,17439.0,24540.0,,1019930079,13.043686249913627,23.655539475355173,3.0855543498897924
6716,1,01993,0081,,2021,101505.0,502724.0,144024.0,,,750024.0,158740.0,8997.0,23906.0,,1019930081,15.059846289530048,21.164656064339272,3.187364670997195
6717,1,01993,0082,,2021,533712.0,,,,,533712.0,493520.0,39757.0,137450.0,,1019930082,27.850948289836282,92.4693467637977,25.753589951134693
6719,1,01993,0088,,2021,793718.0,,,,,1127583.0,553028.0,108284.0,121450.0,,1019930088,21.960913371474863,49.045436123105794,10.770825739657303
6720,1,01994,0045,,2021,56486.0,555057.0,,,2440.0,617870.0,663814.0,,115547.0,,1019940045,17.4065325527934,107.4358683865538,18.700859404081765
6721,1,01994,0062,,2021,1172765.0,,5287.0,,,1178402.0,469081.0,,52906.0,,1019940062,11.27864910324656,39.80653461212727,4.489639359064224
6722,1,01994,0066,,2021,748731.0,,,,,748731.0,462127.0,56782.0,102631.0,,1019940066,22.208397258762204,61.72136588440975,13.707326129143846
6723,1,01994,0069,,2021,748731.0,,,,,748731.0,462127.0,56782.0,102631.0,,1019940069,22.208397258762204,61.72136588440975,13.707326129143846
6724,1,01994,0072,,2021,84073.0,1233942.0,,,,1394692.0,777608.0,,185673.0,,1019940072,23.877454964455097,55.7548189851236,13.312831793686348
6725,1,01994,0081,,2021,53635.0,1128965.0,,,1931.0,1213932.0,787299.0,,217271.0,,1019940081,27.597012062761415,64.85528019691384,17.89811949928003
6726,1,01994,0084,,2021,93898.0,511702.0,,,3252.0,613750.0,422372.0,,87928.0,,1019940084,20.817667837830157,68.81824847250509,14.326354378818737
6727,1,01994,0088,,2021,115210.0,614271.0,,,2008.0,737405.0,659496.0,,176919.0,,1019940088,26.826394701408347,89.43470684359342,23.992107457909835
6728,1,01994,0093,,2021,48633.0,874413.0,,,,930559.0,706628.0,,199445.0,,1019940093,28.224893437565452,75.93586220755482,21.432816188978883
6729,1,01995,0001,,2021,1074894.0,,,,,1080894.0,819691.0,,111119.0,,1019950001,13.556205936139351,75.83454066726247,10.280286503579445
6731,1,01995,0063,,2021,41570.0,8443161.0,,,,9571438.0,6154387.0,,1511707.0,,1019950063,24.56307996230981,64.29950233183352,15.79393817313553
6733,1,01998,0010,,2021,,,,,,521631.0,4984.0,,483.0,,1019980010,9.691011235955056,0.9554646867229901,0.09259419014590774
6735,1,01998,0057,,2021,,,,,,501287.0,2493.0,,,,1019980057,,0.49731989858105236,
6736,1,01998,0006,,2021,,,,,,521631.0,730.0,,480.0,,1019980006,65.75342465753424,0.13994567040685849,0.0920190709524549
6738,1,01999,0036,,2021,,,,,,712586.0,371982.0,,106474.0,,1019990036,28.623428015334074,52.20169916332906,14.941915782796745
6740,1,02001,0058,,2021,460613.0,76411.0,,,,540113.0,257976.0,,66322.0,,1020010058,25.708593047415263,47.76333841251738,12.279282298333866
6741,1,02001,9005,,2021,,18282131.0,,,14071969.0,33885142.0,16569685.0,3534608.0,912331.0,,1020019005,5.50602500892443,48.899558986649666,2.6924219470586843
6742,1,02002,0101,,2021,878678.0,,,,,878678.0,439427.0,,120765.0,,1020020101,27.482380463649253,50.01001504532946,13.743942604685675
6747,1,02002,0033,,2021,912227.0,,,,,1274703.0,823966.0,,498726.0,,1020020033,60.52749749382863,64.63984159447338,39.12487850110967
6749,1,02002,0055,,2021,617599.0,,,,,617599.0,300454.0,,40465.0,,1020020055,13.467951832892888,48.64871866696676,6.551985997386654
6750,1,02002,0067,,2021,391000.0,,,,1370779.0,1775148.0,1023457.0,,577362.0,36061022301.0,1020020067,56.412922086614294,57.654742027143655,32.52472469901101
6751,1,02002,0069,,2021,798771.0,,,,26078.0,824849.0,376637.0,,64107.0,,1020020069,17.020898106134023,45.66132710350622,7.771967960196351
6753,1,02002,0097,,2021,247327.0,377450.0,,,12315.0,637392.0,501068.0,45198.0,114334.0,,1020020097,22.818060622510316,78.61221979566734,17.93778396967643
6754,1,02004,0012,,2021,,,,,,1085930.0,43596.0,,,,1020040012,,4.014623410348733,
6756,1,02006,0011,,2021,653010.0,240588.0,,,,893598.0,330414.0,,38106.0,,1020060011,11.532804300059924,36.97568705391015,4.264333626530051
6757,1,02006,0045,,2021,578723.0,,,,,578723.0,309231.0,,91221.0,,1020060045,29.499306343801234,53.43333511887379,15.76246321642651
6760,1,02007,0002,,2021,492833.0,123208.0,,,8737.0,735013.0,415750.0,5362.0,47051.0,,1020070002,11.317137702946482,56.563625405264936,6.401383376892654
6762,1,02007,0036,,2021,158346.0,858060.0,,,,1217880.0,845147.0,226301.0,150868.0,,1020070036,17.851095726542248,69.394932177226,12.38775577232568
6767,1,02008,0006,,2021,1582566.0,500392.0,,,,2234167.0,1147821.0,,355399.0,,1020080006,30.962928888737878,51.37579240943045,15.907450069757543
6768,1,02009,0029,,2021,978829.0,,,,,978829.0,259444.0,,73864.0,,1020090029,28.470113010900235,26.505548977400544,7.546159748025446
6771,1,02010,0001,,2021,385190.0,,,,81832.0,604077.0,274596.0,20242.0,36402.0,,1020100001,13.256566009701526,45.45711887722923,6.026052970068385
6772,1,02010,0003,,2021,370666.0,,,,,520389.0,197331.0,15268.0,22488.0,,1020100003,11.396080696900132,37.91990222698789,4.32138265797317
6776,1,02011,0036,,2021,451815.0,,,,,658713.0,270534.0,,86583.0,,1020110036,32.0044800283883,41.07008666900456,13.144267685623328
6777,1,02012,0039,,2021,820672.0,,,,,820672.0,199182.0,,31629.0,36061023200.0,1020120039,15.879446937976324,24.270597754035716,3.8540366918817752
